"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"1","WA","US",2020-01-22,1,0,0
"2","WA","US",2020-01-23,1,0,0
"3","WA","US",2020-01-24,1,0,0
"4","IL","US",2020-01-24,1,0,0
"5","WA","US",2020-01-25,1,0,0
"6","IL","US",2020-01-25,1,0,0
"7","WA","US",2020-01-26,1,0,0
"8","IL","US",2020-01-26,1,0,0
"9","CA","US",2020-01-26,2,0,0
"10","AZ","US",2020-01-26,1,0,0
"11","WA","US",2020-01-27,1,0,0
"12","IL","US",2020-01-27,1,0,0
"13","CA","US",2020-01-27,2,0,0
"14","AZ","US",2020-01-27,1,0,0
"15","WA","US",2020-01-28,1,0,0
"16","IL","US",2020-01-28,1,0,0
"17","CA","US",2020-01-28,2,0,0
"18","AZ","US",2020-01-28,1,0,0
"19","WA","US",2020-01-29,1,0,0
"20","IL","US",2020-01-29,1,0,0
"21","CA","US",2020-01-29,2,0,0
"22","AZ","US",2020-01-29,1,0,0
"23","WA","US",2020-01-30,1,0,0
"24","IL","US",2020-01-30,1,0,0
"25","CA","US",2020-01-30,2,0,0
"26","AZ","US",2020-01-30,1,0,0
"27","IL","US",2020-01-31,2,0,0
"28","CA","US",2020-01-31,2,0,0
"29","WA","US",2020-01-31,1,0,0
"30","AZ","US",2020-01-31,1,0,0
"31","IL","US",2020-02-01,2,0,0
"32","MA","US",2020-02-01,1,0,0
"33","CA","US",2020-02-01,1,0,0
"34","WA","US",2020-02-01,1,0,0
"35","AZ","US",2020-02-01,1,0,0
"36","IL","US",2020-02-02,2,0,0
"37","MA","US",2020-02-02,1,0,0
"38","CA","US",2020-02-02,1,0,0
"39","WA","US",2020-02-02,1,0,0
"40","AZ","US",2020-02-02,1,0,0
"41","IL","US",2020-02-03,2,0,0
"42","CA","US",2020-02-03,2,0,0
"43","MA","US",2020-02-03,1,0,0
"44","WA","US",2020-02-03,1,0,0
"45","AZ","US",2020-02-03,1,0,0
"46","IL","US",2020-02-04,2,0,0
"47","CA","US",2020-02-04,2,0,0
"48","MA","US",2020-02-04,1,0,0
"49","WA","US",2020-02-04,1,0,0
"50","AZ","US",2020-02-04,1,0,0
"51","IL","US",2020-02-05,2,0,0
"52","CA","US",2020-02-05,2,0,0
"53","MA","US",2020-02-05,1,0,0
"54","WI","US",2020-02-05,1,0,0
"55","WA","US",2020-02-05,1,0,0
"56","AZ","US",2020-02-05,1,0,0
"57","IL","US",2020-02-06,2,0,0
"58","CA","US",2020-02-06,2,0,0
"59","MA","US",2020-02-06,1,0,0
"60","WI","US",2020-02-06,1,0,0
"61","WA","US",2020-02-06,1,0,0
"62","AZ","US",2020-02-06,1,0,0
"63","IL","US",2020-02-07,2,0,0
"64","CA","US",2020-02-07,2,0,0
"65","MA","US",2020-02-07,1,0,0
"66","WI","US",2020-02-07,1,0,0
"67","WA","US",2020-02-07,1,0,0
"68","AZ","US",2020-02-07,1,0,0
"69","IL","US",2020-02-08,2,0,0
"70","CA","US",2020-02-08,2,0,0
"71","MA","US",2020-02-08,1,0,0
"72","WI","US",2020-02-08,1,0,0
"73","WA","US",2020-02-08,1,0,0
"74","AZ","US",2020-02-08,1,0,0
"75","IL","US",2020-02-09,2,0,2
"76","CA","US",2020-02-09,2,0,0
"77","MA","US",2020-02-09,1,0,0
"78","WI","US",2020-02-09,1,0,0
"79","WA","US",2020-02-09,1,0,1
"80","AZ","US",2020-02-09,1,0,0
"81","IL","US",2020-02-10,2,0,2
"82","CA","US",2020-02-10,2,0,0
"83","MA","US",2020-02-10,1,0,0
"84","WI","US",2020-02-10,1,0,0
"85","WA","US",2020-02-10,1,0,1
"86","AZ","US",2020-02-10,1,0,0
"87","IL","US",2020-02-11,2,0,2
"88","CA","US",2020-02-11,2,0,0
"89","MA","US",2020-02-11,1,0,0
"90","WI","US",2020-02-11,1,0,0
"91","WA","US",2020-02-11,1,0,1
"92","AZ","US",2020-02-11,1,0,0
"93","IL","US",2020-02-12,2,0,2
"94","CA","US",2020-02-12,2,0,0
"95","MA","US",2020-02-12,1,0,0
"96","WI","US",2020-02-12,1,0,0
"97","WA","US",2020-02-12,1,0,1
"98","AZ","US",2020-02-12,1,0,0
"99","IL","US",2020-02-13,2,0,2
"100","CA","US",2020-02-13,2,0,0
"101","MA","US",2020-02-13,1,0,0
"102","WI","US",2020-02-13,1,0,0
"103","TX","US",2020-02-13,1,0,0
"104","WA","US",2020-02-13,1,0,1
"105","AZ","US",2020-02-13,1,0,0
"106","IL","US",2020-02-14,2,0,2
"107","CA","US",2020-02-14,2,0,0
"108","MA","US",2020-02-14,1,0,0
"109","WI","US",2020-02-14,1,0,0
"110","TX","US",2020-02-14,1,0,0
"111","WA","US",2020-02-14,1,0,1
"112","AZ","US",2020-02-14,1,0,0
"113","IL","US",2020-02-15,2,0,2
"114","CA","US",2020-02-15,2,0,0
"115","MA","US",2020-02-15,1,0,0
"116","WI","US",2020-02-15,1,0,0
"117","TX","US",2020-02-15,1,0,0
"118","WA","US",2020-02-15,1,0,1
"119","AZ","US",2020-02-15,1,0,0
"120","IL","US",2020-02-16,2,0,2
