"","date","state","positive","negative","hospitalized","death","fips"
"1",2020-01-21,"WA",1,NA,NA,0,"53"
"2",2020-01-22,"WA",1,NA,NA,0,"53"
"3",2020-01-23,"WA",1,NA,NA,0,"53"
"4",2020-01-24,"IL",1,NA,NA,0,"17"
"5",2020-01-24,"WA",1,NA,NA,0,"53"
"6",2020-01-25,"CA",1,NA,NA,0,"06"
"7",2020-01-25,"IL",1,NA,NA,0,"17"
"8",2020-01-25,"WA",1,NA,NA,0,"53"
"9",2020-01-26,"AZ",1,NA,NA,0,"04"
"10",2020-01-26,"CA",2,NA,NA,0,"06"
"11",2020-01-26,"IL",1,NA,NA,0,"17"
"12",2020-01-26,"WA",1,NA,NA,0,"53"
"13",2020-01-27,"AZ",1,NA,NA,0,"04"
"14",2020-01-27,"CA",2,NA,NA,0,"06"
"15",2020-01-27,"IL",1,NA,NA,0,"17"
"16",2020-01-27,"WA",1,NA,NA,0,"53"
"17",2020-01-28,"AZ",1,NA,NA,0,"04"
"18",2020-01-28,"CA",2,NA,NA,0,"06"
"19",2020-01-28,"IL",1,NA,NA,0,"17"
"20",2020-01-28,"WA",1,NA,NA,0,"53"
"21",2020-01-29,"AZ",1,NA,NA,0,"04"
"22",2020-01-29,"CA",2,NA,NA,0,"06"
"23",2020-01-29,"IL",1,NA,NA,0,"17"
"24",2020-01-29,"WA",1,NA,NA,0,"53"
"25",2020-01-30,"AZ",1,NA,NA,0,"04"
"26",2020-01-30,"CA",2,NA,NA,0,"06"
"27",2020-01-30,"IL",2,NA,NA,0,"17"
"28",2020-01-30,"WA",1,NA,NA,0,"53"
"29",2020-01-31,"AZ",1,NA,NA,0,"04"
"30",2020-01-31,"CA",3,NA,NA,0,"06"
"31",2020-01-31,"IL",2,NA,NA,0,"17"
"32",2020-01-31,"WA",1,NA,NA,0,"53"
"33",2020-02-01,"AZ",1,NA,NA,0,"04"
"34",2020-02-01,"CA",3,NA,NA,0,"06"
"35",2020-02-01,"IL",2,NA,NA,0,"17"
"36",2020-02-01,"MA",1,NA,NA,0,"25"
"37",2020-02-01,"WA",1,NA,NA,0,"53"
"38",2020-02-02,"AZ",1,NA,NA,0,"04"
"39",2020-02-02,"CA",6,NA,NA,0,"06"
"40",2020-02-02,"IL",2,NA,NA,0,"17"
"41",2020-02-02,"MA",1,NA,NA,0,"25"
"42",2020-02-02,"WA",1,NA,NA,0,"53"
"43",2020-02-03,"AZ",1,NA,NA,0,"04"
"44",2020-02-03,"CA",6,NA,NA,0,"06"
"45",2020-02-03,"IL",2,NA,NA,0,"17"
"46",2020-02-03,"MA",1,NA,NA,0,"25"
"47",2020-02-03,"WA",1,NA,NA,0,"53"
"48",2020-02-04,"AZ",1,NA,NA,0,"04"
"49",2020-02-04,"CA",6,NA,NA,0,"06"
"50",2020-02-04,"IL",2,NA,NA,0,"17"
"51",2020-02-04,"MA",1,NA,NA,0,"25"
"52",2020-02-04,"WA",1,NA,NA,0,"53"
"53",2020-02-05,"AZ",1,NA,NA,0,"04"
"54",2020-02-05,"CA",6,NA,NA,0,"06"
"55",2020-02-05,"IL",2,NA,NA,0,"17"
"56",2020-02-05,"MA",1,NA,NA,0,"25"
"57",2020-02-05,"WA",1,NA,NA,0,"53"
"58",2020-02-05,"WI",1,NA,NA,0,"55"
"59",2020-02-06,"AZ",1,NA,NA,0,"04"
"60",2020-02-06,"CA",6,NA,NA,0,"06"
"61",2020-02-06,"IL",2,NA,NA,0,"17"
"62",2020-02-06,"MA",1,NA,NA,0,"25"
"63",2020-02-06,"WA",1,NA,NA,0,"53"
"64",2020-02-06,"WI",1,NA,NA,0,"55"
"65",2020-02-07,"AZ",1,NA,NA,0,"04"
"66",2020-02-07,"CA",6,NA,NA,0,"06"
"67",2020-02-07,"IL",2,NA,NA,0,"17"
"68",2020-02-07,"MA",1,NA,NA,0,"25"
"69",2020-02-07,"WA",1,NA,NA,0,"53"
"70",2020-02-07,"WI",1,NA,NA,0,"55"
"71",2020-02-08,"AZ",1,NA,NA,0,"04"
"72",2020-02-08,"CA",6,NA,NA,0,"06"
"73",2020-02-08,"IL",2,NA,NA,0,"17"
"74",2020-02-08,"MA",1,NA,NA,0,"25"
"75",2020-02-08,"WA",1,NA,NA,0,"53"
"76",2020-02-08,"WI",1,NA,NA,0,"55"
"77",2020-02-09,"AZ",1,NA,NA,0,"04"
"78",2020-02-09,"CA",6,NA,NA,0,"06"
"79",2020-02-09,"IL",2,NA,NA,0,"17"
"80",2020-02-09,"MA",1,NA,NA,0,"25"
"81",2020-02-09,"WA",1,NA,NA,0,"53"
"82",2020-02-09,"WI",1,NA,NA,0,"55"
"83",2020-02-10,"AZ",1,NA,NA,0,"04"
"84",2020-02-10,"CA",7,NA,NA,0,"06"
"85",2020-02-10,"IL",2,NA,NA,0,"17"
"86",2020-02-10,"MA",1,NA,NA,0,"25"
"87",2020-02-10,"WA",1,NA,NA,0,"53"
"88",2020-02-10,"WI",1,NA,NA,0,"55"
"89",2020-02-11,"AZ",1,NA,NA,0,"04"
"90",2020-02-11,"CA",7,NA,NA,0,"06"
"91",2020-02-11,"IL",2,NA,NA,0,"17"
"92",2020-02-11,"MA",1,NA,NA,0,"25"
"93",2020-02-11,"WA",1,NA,NA,0,"53"
"94",2020-02-11,"WI",1,NA,NA,0,"55"
"95",2020-02-12,"AZ",1,NA,NA,0,"04"
"96",2020-02-12,"CA",7,NA,NA,0,"06"
"97",2020-02-12,"IL",2,NA,NA,0,"17"
"98",2020-02-12,"MA",1,NA,NA,0,"25"
"99",2020-02-12,"TX",1,NA,NA,0,"48"
"100",2020-02-12,"WA",1,NA,NA,0,"53"
"101",2020-02-12,"WI",1,NA,NA,0,"55"
"102",2020-02-13,"AZ",1,NA,NA,0,"04"
"103",2020-02-13,"CA",7,NA,NA,0,"06"
"104",2020-02-13,"IL",2,NA,NA,0,"17"
"105",2020-02-13,"MA",1,NA,NA,0,"25"
"106",2020-02-13,"TX",2,NA,NA,0,"48"
"107",2020-02-13,"WA",1,NA,NA,0,"53"
"108",2020-02-13,"WI",1,NA,NA,0,"55"
"109",2020-02-14,"AZ",1,NA,NA,0,"04"
"110",2020-02-14,"CA",7,NA,NA,0,"06"
"111",2020-02-14,"IL",2,NA,NA,0,"17"
"112",2020-02-14,"MA",1,NA,NA,0,"25"
"113",2020-02-14,"TX",2,NA,NA,0,"48"
"114",2020-02-14,"WA",1,NA,NA,0,"53"
"115",2020-02-14,"WI",1,NA,NA,0,"55"
"116",2020-02-15,"AZ",1,NA,NA,0,"04"
"117",2020-02-15,"CA",7,NA,NA,0,"06"
"118",2020-02-15,"IL",2,NA,NA,0,"17"
"119",2020-02-15,"MA",1,NA,NA,0,"25"
"120",2020-02-15,"TX",2,NA,NA,0,"48"
"121",2020-02-15,"WA",1,NA,NA,0,"53"
"122",2020-02-15,"WI",1,NA,NA,0,"55"
"123",2020-02-16,"AZ",1,NA,NA,0,"04"
"124",2020-02-16,"CA",7,NA,NA,0,"06"
